rank,lemma,pos_kelly,pos_ud,english
4847,samordning,n,NOUN,
4848,hjertesvikt,n,NOUN,heart failure
4849,direktorat,n,NOUN,directorate
4850,majoritet,n,NOUN,majority
4851,derav,adv,ADV,thereof
4852,bortimot,adv,ADV,away from
4853,speile,v,VERB,reflect
4854,drag,n,NOUN,pull
4855,hindring,n,NOUN,obstacle
4856,oppheve,v,VERB,abolish
4857,nederlandsk,adj,ADJ,Dutch
4858,ref.,n,NOUN,ref.
4859,snau,adj,ADJ,bare
4860,syden,n,NOUN,"South, Mediterranean countries"
4861,unødig,adj,ADJ,unnecessary
4862,pils,n,NOUN,pilsner
4863,rusle,v,VERB,rustle
4864,virtuell,adj,ADJ,virtual
4865,eiendomsskatt,n,NOUN,property tax
4866,mose,v,VERB,mash
4867,tannlege,n,NOUN,dentist
4868,lengsel,n,NOUN,longing
4869,feile,v,VERB,err
4870,oppsikt,n,NOUN,attention
4871,snuble,v,VERB,stumble
4872,ritual,n,NOUN,ritual
4873,fremkomme,v,VERB,appear
4874,visdom,n,NOUN,wisdom
4875,oppdragsgiver,n,NOUN,employer
4876,ku,n,NOUN,cow
4877,sentralbyrå,adj,ADJ,central city council
4878,kvalifikasjon,n,NOUN,qualification
4879,påvente,n,NOUN,pending
4880,dramatikk,n,NOUN,dramatics
4881,melodi,n,NOUN,melody
4882,arbeiderparti,n,NOUN,workers party
4883,målestokk,n,NOUN,measurement
4884,ondskap,n,NOUN,wickedness
4885,opphavsrett,n,NOUN,copyright
4886,klump,n,NOUN,lump
4887,reisetips,n,NOUN,travel tip
4888,mislighet,n,NOUN,
4889,flyselskap,n,NOUN,airline
4890,tobakk,n,NOUN,tobacco
4891,oppdragelse,n,NOUN,upbringing
4892,arbeidsdag,n,NOUN,working day
4893,næringsvirksomhet,n,NOUN,business activity
4894,saft,n,NOUN,juice
4895,unormal,adj,ADJ,not normal
4896,arbeidsvilkår,n,NOUN,working condition
4897,egenandel,n,NOUN,own share
4898,anlegge,v,VERB,establish
4899,hæl,n,NOUN,heel
4900,kjølig,adj,ADJ,chilly
4901,overstige,v,VERB,exceed
4902,sprute,v,VERB,gush
4903,glitrende,adj,ADJ,glittering
4904,isolasjon,n,NOUN,isolation
4905,tang,n,NOUN,pair of tongs
4906,frigjøring,n,NOUN,freeing
4907,avvik,v,VERB,"deviation, departure"
4908,spillmagasin,n,NOUN,game magazine
4909,etternavn,n,NOUN,surname
4910,avfall,n,NOUN,garbage
4911,knop,n,NOUN,knot
4912,reparere,v,VERB,repair
4913,ironi,n,NOUN,irony
4914,teologisk,adj,ADJ,theological
4915,brukervennlighet,n,NOUN,user-friendliness
4916,mekanisme,n,NOUN,mechanism
4917,medfølgende,adj,ADJ,attached
4918,antrekk,n,NOUN,outfit
4919,dertil,adv,ADV,in addition
4920,doktorgrad,n,NOUN,doctorate
4921,hovedregel,n,NOUN,main rule
4922,skjønnhet,n,NOUN,beauty
4923,sperre,v,VERB,bar
4924,fremgangsmåte,n,NOUN,approach
4925,hovedkontor,n,NOUN,main office
4926,penn,n,NOUN,pen
4927,oppriktig,adj,ADJ,sincere
4928,ufrivillig,adj,ADJ,involuntary
4929,fortrinnsvis,adv,ADV,primarily
4930,nærvær,n,NOUN,presence
4931,legitimitet,n,NOUN,legitimacy
4932,selvforsvar,n,NOUN,self-defence
4933,bremse,v,VERB,break
4934,takling,n,NOUN,tackle
4935,nødhjelp,n,NOUN,aid
4936,organisme,n,NOUN,organism
4937,bebyggelse,n,NOUN,building development
4938,etterkommer,n,NOUN,descendant
4939,taktikk,n,NOUN,tactic
4940,trakassering,n,NOUN,harassment
4941,grådig,adj,ADJ,greedy
4942,turbo,n,NOUN,turbo
4943,major,n,NOUN,major
4944,høyskole,n,NOUN,college
4945,ryddig,adj,ADJ,tidy
4946,partileder,n,NOUN,party leader
4947,opplag,n,NOUN,edition
4948,oppdagelse,n,NOUN,discovery
4949,banne,v,VERB,swear
4950,ferskvann,n,NOUN,fresh water
4951,homo,n,NOUN,homo
4952,modus,n,NOUN,mode
4953,kvitt,adj,ADJ,rid of
4954,speilrefleks,n,NOUN,mirror reflection
4955,studiekompetanse,n,NOUN,study competency
